"NoCategorieSousCategorie";"NoSousCategorie";"NoCategorie";"TitreOffre";"Supprimer";"Approuver";"Description";"NoOffre"
"1048";"E";"500";"Événement de promotion / kiosque pour Réseau";"0";"-1";"Organisation et/ou participation à un kiosque ou tout événement faisant la promotion du Réseau Accorderie";"4"
"1049";"E";"500";"Tâches diverses pour promotion Réseau";"0";"-1";"Accomplissement de tâches pour la réalisation d'une activité faisant la promotion du Réseau Accorderie";"20"
"1050";"F";"500";"Formation pour Réseau";"0";"-1";"Organisation et/ou réalisation d'une formation pour le Réseau Accorderie";"1"
"1051";"F";"500";"Participation formation Réseau";"0";"-1";"Participation à une formation du Réseau Accorderie";"2"
"1052";"F";"500";"Tâches diverses formation pour Réseau";"0";"-1";"Accomplissement de tâches pour la réalisation d'une activité de formation du Réseau Accorderie";"20"
"1053";"B";"105";"Cuisine plats tunisiens";"0";"-1";"Cuisine pour vous des plats de Tunisie";"22"
"1054";"C";"109";"Préparation voyage de cyclotourisme";"0";"-1";"Aide et conseils pour préparer un voyage de cyclotourisme";"10"
"1055";"Z";"101";"Information droits des consommateurs";"0";"-1";"Vous fournit de l'information juridique, entre autres, sur les droits des consommateurs (par ex.: OPC, Loi sur la protection du consommateur, droit des contrats, etc.)";"5"
"1056";"B";"107";"Traduction textes russe - français";"0";"-1";"Traduction de textes du russe au français et/ou du français au russe";"13"
"1057";"A";"104";"Lavage vaisselle";"0";"-1";"Aide pour laver la vaisselle";"5"
"1058";"D";"111";"Conseils préparation voyage à Cuba";"0";"-1";"Conseils pour préparer un voyage à Cuba";"13"
"1059";"B";"109";"Initiation équitation";"0";"-1";"Initiation à l'équitation (de type Western, classique, etc.) et à la randonnée à cheval";"22"
"1060";"B";"107";"Traduction textes mandarin - français";"0";"-1";"Traduction de textes du mandarin au français et/ou du français au mandarin (langue chinoise)";"14"
"1061";"A";"103";"Aide planification déménagement-ERREUR:103-C-6";"-1";"0";"Conseils et aide pour planifier votre déménagement : transport, main-d'oeuvre, équipement, échéancier, etc.";"6"
"1062";"C";"103";"Aide planification déménagement";"0";"-1";"Conseils et aide pour planifier votre déménagement : transport, main-d'oeuvre, équipement, échéancier, etc.";"6"
"1063";"E";"109";"Initiation jeu d'awalé";"0";"-1";"Initiation à l'awalé (awélé, ou nankala), jeu de société africain de stratégie, similaire au backgammon";"4"
"1064";"A";"100";"Accompagnement personnes non-voyantes";"0";"-1";"Accompagnement pour personnes non-voyantes ou handicapés visuels pour démarches, commissions ou rendez-vous divers";"9"
"1065";"B";"107";"Traduction textes français à italien ";"0";"-1";"Traduction de textes du français à l'italien";"8"
"1066";"D";"105";"Conseils achat et coupe de viande";"0";"-1";"Conseils pour l'achat de viande, les coupes, etc.";"8"
"1067";"B";"105";"Cuisine plats syriens";"0";"-1";"Cuisine pour vous des plats de Syrie";"23"
"1068";"D";"105";"Conseils confection de café";"0";"-1";"Conseils pour la confection de café: mouture, utilisation de cafetière ou machine expresso, etc.";"9"
"1069";"Z";"105";"Conseils torréfaction du café";"0";"-1";"Conseils pour la torréfaction du café";"4"
"1070";"B";"105";"Cuisine plats sans gluten";"0";"-1";"Préparation de repas sans gluten (notamment pour gens ayant la maladie coeliaque ou intolérance au gluten)";"60"
"1071";"ZZ";"999";"TesteOffre";"-1";"-1";"TesteOffre
TesteOffre
TesteOffre";"999"
"1073";"A";"106";"Initiation confection de pinata";"0";"-1";"Vous apprend à fabriquer des pinatas de fêtes (récipient en papier mâché de modèle divers, rempli de sucreries et de jouets, brisé à l'aide d'un bâton lors de fêtes)";"28"
