id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
2505,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7971
2544,66-80,0,20001-30000,Brossard,Montérégie,,J4Z,115,7904
2545,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,7905
2546,66-80,1,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,7906
2547,81-95,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,7907
2548,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,7908
2549,55-65,0,0-10000,Saint-Lambert,Montérégie,,J4P,115,7909
2552,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,7912
2554,55-65,0,50001-,Beloeil,Montérégie,,J3G,115,7914
2555,66-80,1,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,7915
2590,66-80,0,30001-50000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2G,114,7870
2601,55-65,0,0-10000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,7858
2602,0,1,30001-50000,Boucherville,Montérégie,,J4B,115,7859
2603,0,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,7860
2604,66-80,0,20001-30000,Longueuil,Montérégie,Greenfield Park,J4V,115,7861
2610,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,7851
2611,66-80,0,20001-30000,Brossard,Montérégie,,J4Z,115,7852
2630,66-80,1,10001-20000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,7836
2631,66-80,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,7819
2632,0,1,30001-50000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,7820
2633,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4M,115,7821
2634,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,7822
2635,66-80,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,7823
2637,66-80,1,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7825
2638,31-54,0,10001-20000,Longueuil,Montérégie,Greenfield Park,J4V,115,7826
2640,66-80,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7828
2695,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7767
2699,31-54,0,50001-,Longueuil,Montérégie,Greenfield Park,J4V,115,7763
2700,55-65,1,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7764
2701,55-65,0,0,Beloeil,Montérégie,,J3N,115,7765
2702,66-80,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,7766
2708,31-54,0,0-10000,Acton Vale,Montérégie,,J0H,115,7761
2709,0,0,30001-50000,Contrecoeur,Montérégie,,J0C,115,7762
2744,55-65,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J4T,115,7705
2781,31-54,0,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,7668
2783,31-54,0,30001-50000,Montréal,Montréal,Le Plateau-Mont-Royal,H2J,114,7670
2784,66-80,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,7671
2805,81-95,0,20001-30000,Ragueneau,Côte-Nord,,G0H,117,7657
2847,31-54,1,10001-20000,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H2R,114,7607
2864,66-80,0,20001-30000,Brossard,Montérégie,,J4W,115,7601
2865,55-65,0,50001-,Saint-Lambert,Montérégie,,J4P,115,7602
2923,66-80,1,30001-50000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,7528
2924,31-54,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,7529
2925,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7530
